energy_per_atom,energy,density,formation_energy_per_atom,total_magnetization,band_gap,sgr,mp_id,formula,URL,num_sites,cell_volume,weight,magnetization_T
-6.211334840769231,-80.74735293,6.1982843456385535,-2.1959998700961547,1e-07,0.0,47,mp-20674,Ba2YCu3O7,https://materialsproject.org/materials/mp-20674,13,178.47528482676114,666.1936499999999,6.529791945070618e-09
-6.350783669999998,-82.56018771,6.134118638435532,-2.2480100785576926,2.4227845,0.0,47,mp-1214571,Ba2YCoCu2O7,https://materialsproject.org/materials/mp-1214571,13,179.09350731417786,661.5808450000001,0.15765667843793696
-6.107843622307692,-79.40196709,6.067421383775819,-2.3083444252838468,1.4599999999999999e-05,0.0,47,mp-1214572,Ba2YCu3O6F,https://materialsproject.org/materials/mp-1214572,13,183.14543454838417,669.1926532,9.290395149567362e-07
-6.1433793066666675,-73.72055168,5.998615968949426,-2.1456343543750003,0.0,0.0,25,mp-1021507,Ba2Y(CuO2)3,https://materialsproject.org/materials/mp-1021507,12,179.9870072192019,650.19425,0.0
-6.097176762142857,-85.36047467,6.329331483088242,-2.0667646328571427,3.7000000000000006e-06,0.0,123,mp-1214613,Ba2YCu3O8,https://materialsproject.org/materials/mp-1214613,14,178.9775421572557,682.19305,2.4092430334407067e-07
-5.980952087692307,-77.75237714,5.901590919707661,-2.0242322443509613,0.08840869999999999,0.0,47,mp-1214650,Ba2YCu3SO6,https://materialsproject.org/materials/mp-1214650,13,191.96825660058454,682.2592500000001,0.005367141081046108
-6.1963253684615385,-80.55222979,6.440396385333813,-2.224497052211539,2.5580502999999997,0.0,47,mp-1214600,Ba2NdCoCu2O7,https://materialsproject.org/materials/mp-1214600,13,184.84400453176164,716.916995,0.16128023174559186
-6.564659198571428,-91.90522878,5.9609382262682375,-2.2906680542857143,10.542207000000001,0.0,123,mp-1239363,Ba2YCo3O8,https://materialsproject.org/materials/mp-1239363,14,186.1836043010368,668.3546349999999,0.6598839016194082
-6.065841081538461,-78.85593406,6.673485656821624,-2.185201114134616,0.0,0.0,47,mp-21451,Ba2SmCu3O7,https://materialsproject.org/materials/mp-21451,13,181.05794204187774,727.6478000000001,0.0
-6.206347217692307,-80.68251383,6.570218342750595,-2.238268629519232,2.5197877999999996,0.0,47,mp-1214586,Ba2SmCoCu2O7,https://materialsproject.org/materials/mp-1214586,13,182.7378899528424,723.0349950000001,0.16069885803039452
-5.896086840714285,-82.54521577,6.168116806647541,-1.969610952142857,3.0000042000000002,0.0,123,mvc-1132,Ba2YNi3O8,https://materialsproject.org/materials/mvc-1132,14,179.73628448643439,667.6352499999999,0.1945196728899217
-6.047178858461539,-78.61332516,6.480716128257996,-2.1613594797115394,1e-07,0.0,47,mp-20936,Ba2PrCu3O7,https://materialsproject.org/materials/mp-20936,13,184.0215740781003,718.19545,6.332988309084679e-09
-6.187938245384616,-80.44319719,6.4017414248268,-2.2146802458653854,2.5715404,0.0,47,mp-1214590,Ba2PrCoCu2O7,https://materialsproject.org/materials/mp-1214590,13,185.0952360702415,713.5826450000001,0.1619106953972668
-6.055734571538461,-78.72454943,6.532421313397767,-2.171344876057693,8e-07,0.0,47,mp-22719,Ba2NdCu3O7,https://materialsproject.org/materials/mp-22719,13,183.41260367975235,721.5298,5.0832121844399645e-08
-5.949276989230769,-77.34060086,6.060906985717988,-2.0458733547115378,5.0000023,0.0,47,mvc-1330,Ba2YNi3O7,https://materialsproject.org/materials/mvc-1330,13,178.53215225681274,651.63585,0.32638575142099574
-6.504452458461539,-84.55788196,6.551494303426018,-2.10758293548077,8.3607146,0.0,47,mp-1214711,Ba2EuCoCu2O7,https://materialsproject.org/materials/mp-1214711,13,183.6667003548518,724.638995,0.5305061249809271
-6.2240650569230755,-80.91284574,6.316650584094483,-2.2398139745192305,2.5884771,0.0,47,mp-1214652,Ba2LaCoCu2O7,https://materialsproject.org/materials/mp-1214652,13,187.06229298311612,711.5804650000001,0.16126328457018443
